index,nctid,MTI_condition,DUI,TUI,condition_id
3857,NCT04411459,COVID-19,D000086382,T001007884,condition_3
3858,NCT04411459,"Respiration, Artificial",D012121,T036100,condition_112
3859,NCT04411459,Quality of Life,D011788,T034831,condition_455
3860,NCT04411459,Lung,D008168,T024344,condition_38
3861,NCT04411459,Anesthesia,D000758,T002261,condition_548
3862,NCT04411459,Retrospective Studies,D012189,T036272,condition_656
3863,NCT04411511,COVID-19,D000086382,T001007884,condition_3
3864,NCT04411511,Obesity,D009765,T029022,condition_13
3865,NCT04411511,Life Style,D008019,T023921,condition_652
3867,NCT04411511,Overweight,D050177,T610636,condition_660
3868,NCT04411511,"Children, Only",0,0,condition_661
3869,NCT04411511,Family,D005190,T015896,condition_662
3870,NCT04411563,Prognosis,D011379,T033565,condition_362
3871,NCT04411576,COVID-19,D000086382,T001007884,condition_3
3872,NCT04411602,"Respiration, Artificial",D012121,T036100,condition_112
3873,NCT04411602,COVID-19,D000086382,T001007884,condition_3
3874,NCT04411628,COVID-19,D000086382,T001007884,condition_3
3875,NCT04411667,COVID-19,D000086382,T001007884,condition_3
3876,NCT04411680,COVID-19,D000086382,T001007884,condition_3
3878,NCT04411784,Inflammatory Bowel Diseases,D015212,T044480,condition_100
3879,NCT04411784,COVID-19,D000086382,T001007884,condition_3
3880,NCT04412018,COVID-19,D000086382,T001007884,condition_3
3881,NCT04412018,Inflammatory Response,0,0,condition_118
3882,NCT04412031,COVID-19,D000086382,T001007884,condition_3
3883,NCT04412057,COVID-19,D000086382,T001007884,condition_3
3884,NCT04412057,Acute Lung Injury,D055371,T036122,condition_178
3885,NCT04412057,"Respiration, Artificial",D012121,T036100,condition_112
3886,NCT04412226,"Intubation, Intratracheal",D007442,T022352,condition_170
3887,NCT04412226,COVID-19,D000086382,T001007884,condition_3
3888,NCT04412239,Tuberculosis,D014376,T042063,condition_663
3889,NCT04412239,Patient Satisfaction,D017060,T050940,condition_664
3890,NCT04412252,COVID-19,D000086382,T001007884,condition_3
3891,NCT04412265,COVID-19,D000086382,T001007884,condition_3
3892,NCT04412278,COVID-19,D000086382,T001007884,condition_3
3893,NCT04412278,Social Isolation,D012934,T038089,condition_220
3894,NCT04412291,COVID-19,D000086382,T001007884,condition_3
3895,NCT04412304,COVID-19,D000086382,T001007884,condition_3
3896,NCT04412304,Thromboembolism,D013923,T040830,condition_665
3897,NCT04412304,Hemorrhage,D006470,T019524,condition_635
3898,NCT04412317,COVID-19,D000086382,T001007884,condition_3
3899,NCT04412330,COVID-19,D000086382,T001007884,condition_3
3900,NCT04412330,Critical Illness,D016638,T049821,condition_17
3901,NCT04412330,Critical Care,D003422,T009952,condition_240
3902,NCT04412330,Muscle Weakness,D018908,T056358,condition_542
3903,NCT04412343,Mental Health,D008603,T025592,condition_212
3904,NCT04412343,Depression,D003863,T011484,condition_105
3905,NCT04412343,Quality of Life,D011788,T034831,condition_455
3906,NCT04412343,Loneliness,D008132,T024259,condition_436
3907,NCT04412343,Exercise,D015444,T045599,condition_84
3908,NCT04412343,Social Identification,D012933,T038085,condition_666
3909,NCT04412343,Physical Fitness,D010809,T031883,condition_667
3910,NCT04412356,COVID-19,D000086382,T001007884,condition_3
3911,NCT04412356,"Respiration, Artificial",D012121,T036100,condition_112
3912,NCT04412356,Tracheostomy,D014139,T041401,condition_668
3913,NCT04412356,Respiratory Insufficiency,D012131,T036135,condition_175
3915,NCT04412369,COVID-19,D000086382,T001007884,condition_3
3916,NCT04412369,Cardiovascular Diseases,D002318,T006662,condition_9
3917,NCT04412382,COVID-19,D000086382,T001007884,condition_3
3918,NCT04412395,COVID-19,D000086382,T001007884,condition_3
3919,NCT04412395,Middle East Respiratory Syndrome COVID-19,0,0,condition_554
3920,NCT04412395,Respiratory Distress Syndrome,D012128,T001010711,condition_14
3924,NCT04412460,COVID-19,D000086382,T001007884,condition_3
3925,NCT04412460,Respiratory Distress Syndrome,D012128,T001010711,condition_14
3926,NCT04412473,COVID-19,D000086382,T001007884,condition_3
3927,NCT04412486,COVID-19,D000086382,T001007884,condition_3
3928,NCT04412538,COVID-19,D000086382,T001007884,condition_3
3929,NCT04412551,COVID-19,D000086382,T001007884,condition_3
3930,NCT04412551,Virus Diseases,D014777,T043232,condition_181
3931,NCT04412551,Coronaviridae Infections,D003333,T009731,condition_386
3932,NCT04412655,ST Elevation Myocardial Infarction,D000072657,T000900888,condition_669
3933,NCT04412668,COVID-19,D000086382,T001007884,condition_3
3934,NCT04412746,COVID-19,D000086382,T001007884,condition_3
3935,NCT04412746,"Diabetes Mellitus, Type 2",D003924,T011751,condition_6
3936,NCT04412746,Prevalence,D015995,T047481,condition_670
3937,NCT04412746,Risk Factors,0,0,condition_166
3938,NCT04412746,Patient Outcome Assessment,D063868,T050954,condition_672
3939,NCT04412746,"Respiration, Artificial",D012121,T036100,condition_112
3940,NCT04412772,COVID-19,D000086382,T001007884,condition_3
3941,NCT04412785,COVID-19,D000086382,T001007884,condition_3
3942,NCT04413006,Chronic Pain,D059350,T778527,condition_87
3943,NCT04413045,COVID-19,D000086382,T001007884,condition_3
3944,NCT04413058,Cross-Sectional Studies,D003430,T009982,condition_545
3945,NCT04413058,COVID-19,D000086382,T001007884,condition_3
3946,NCT04413071,COVID-19,D000086382,T001007884,condition_3
3949,NCT04413071,Magnetic Resonance Spectroscopy,D009682,T028785,condition_673
3950,NCT04413071,Myocarditis,D009205,T027451,condition_191
3951,NCT04413071,"Heart Defects, Congenital",D006330,T019182,condition_260
3952,NCT04413435,COVID-19,D000086382,T001007884,condition_3
3953,NCT04413435,Critical Illness,D016638,T049821,condition_17
3954,NCT04413435,Characteristics Disease,0,0,condition_674
3955,NCT04413747,COVID-19,D000086382,T001007884,condition_3
3956,NCT04413747,Cytokine Release Syndrome,D000080424,T000952163,condition_173
3957,NCT04413747,Psychotic Disorders,D011618,T034300,condition_171
3958,NCT04413838,COVID-19,D000086382,T001007884,condition_3
3959,NCT04413864,COVID-19,D000086382,T001007884,condition_3
3960,NCT04413877,Frailty,D000073496,T000908134,condition_503
3961,NCT04413877,COVID-19,D000086382,T001007884,condition_3
3962,NCT04413877,Healthy Aging,D000073656,T000909636,condition_675
3964,NCT04413955,COVID-19,D000086382,T001007884,condition_3
3966,NCT04413968,COVID-19,D000086382,T001007884,condition_3
3970,NCT04414059,COVID-19,D000086382,T001007884,condition_3
3971,NCT04414059,Cross Infection,D003428,T009974,condition_179
3972,NCT04414098,COVID-19,D000086382,T001007884,condition_3
3973,NCT04414124,COVID-19,D000086382,T001007884,condition_3
3974,NCT04414241,COVID-19,D000086382,T001007884,condition_3
3975,NCT04414267,COVID-19,D000086382,T001007884,condition_3
3976,NCT04414267,Virus Diseases,D014777,T043232,condition_181
3978,NCT04414267,Coronary Disease,D003327,T009718,condition_676
3979,NCT04414267,"Pulmonary Disease, Chronic Obstructive",D029424,T024361,condition_22
3980,NCT04414293,COVID-19,D000086382,T001007884,condition_3
3981,NCT04414293,"Pneumonia, Viral",D011024,T032427,condition_133
3982,NCT04414319,COVID-19,D000086382,T001007884,condition_3
3983,NCT04414371,Hydrocortisone,D006854,T020679,condition_172
3984,NCT04414371,Anxiety,D001007,T003092,condition_104
3985,NCT04414371,Depression,D003863,T011484,condition_105
3986,NCT04414371,"Resilience, Psychological",D055500,T713809,condition_477
3987,NCT04414371,Health Status,D006304,T019120,condition_188
3988,NCT04414371,Affect,D000339,T001098,condition_677
3989,NCT04414410,COVID-19,D000086382,T001007884,condition_3
3991,NCT04414618,COVID-19,D000086382,T001007884,condition_3
3992,NCT04414631,COVID-19,D000086382,T001007884,condition_3
3993,NCT04414657,COVID-19,D000086382,T001007884,condition_3
3994,NCT04414826,Loneliness,D008132,T024259,condition_436
3995,NCT04414904,"Infertility, Male",D007248,T021729,condition_678
3996,NCT04414904,Testosterone,D013739,T040348,condition_679
3997,NCT04415060,COVID-19,D000086382,T001007884,condition_3
3998,NCT04415060,Respiratory Insufficiency,D012131,T036135,condition_175
3999,NCT04415073,COVID-19,D000086382,T001007884,condition_3
4001,NCT04415073,"Respiration, Artificial",D012121,T036100,condition_112
4002,NCT04415073,Cytokine Release Syndrome,D000080424,T000952163,condition_173
4004,NCT04415086,COVID-19,D000086382,T001007884,condition_3
4005,NCT04415151,COVID-19,D000086382,T001007884,condition_3
4006,NCT04415359,COVID-19,D000086382,T001007884,condition_3
4007,NCT04415879,COVID-19,D000086382,T001007884,condition_3
4008,NCT04416009,Extracellular Fluid,D045604,T015640,condition_680
4009,NCT04416009,COVID-19,D000086382,T001007884,condition_3
4010,NCT04416048,COVID-19,D000086382,T001007884,condition_3
4011,NCT04416061,COVID-19,D000086382,T001007884,condition_3
4012,NCT04416100,COVID-19,D000086382,T001007884,condition_3
4013,NCT04416100,Pulmonary Fibrosis,D011658,T034440,condition_651
4014,NCT04416113,COVID-19,D000086382,T001007884,condition_3
4015,NCT04416139,COVID-19,D000086382,T001007884,condition_3
4016,NCT04416256,COVID-19,D000086382,T001007884,condition_3
4017,NCT04416308,COVID-19,D000086382,T001007884,condition_3
4018,NCT04416334,COVID-19,D000086382,T001007884,condition_3
4019,NCT04416347,COVID-19,D000086382,T001007884,condition_3
4021,NCT04416360,Autism Spectrum Disorder,D000067877,T000876248,condition_681
4022,NCT04416360,Attention Deficit Disorder with Hyperactivity,D001289,T003845,condition_154
4023,NCT04416373,COVID-19,D000086382,T001007884,condition_3
4024,NCT04416373,Pregnancy Complications,D011248,T033133,condition_353
4025,NCT04416373,"Infectious Disease Transmission, Vertical",D018445,T712671,condition_603
4026,NCT04416373,Breast Feeding,D001942,T005537,condition_682
4027,NCT04416373,Communicable Diseases,D003141,T009157,condition_160
4028,NCT04416399,COVID-19,D000086382,T001007884,condition_3
4029,NCT04416438,Myeloproliferative Disorders,D009196,T027431,condition_61
4030,NCT04416438,COVID-19,D000086382,T001007884,condition_3
4031,NCT04416464,Quality of Life,D011788,T034831,condition_455
4032,NCT04416464,"Outcome Assessment, Health Care",D017063,T000950588,condition_513
4033,NCT04416464,COVID-19,D000086382,T001007884,condition_3
4034,NCT04416464,Morals,D009014,T026944,condition_683
4035,NCT04416464,Patient Readmission,D010359,T030587,condition_684
4036,NCT04416893,COVID-19,D000086382,T001007884,condition_3
4037,NCT04416919,COVID-19,D000086382,T001007884,condition_3
4038,NCT04416919,Delivery of Health Care,D003695,T010763,condition_685
4039,NCT04417153,"Stress, Psychological",D013315,T039102,condition_177
4040,NCT04417153,Sleep,D012890,T037988,condition_686
4041,NCT04417257,COVID-19,D000086382,T001007884,condition_3
4042,NCT04417270,"Diabetes Mellitus, Type 2",D003924,T011751,condition_6
4043,NCT04417335,COVID-19,D000086382,T001007884,condition_3
4044,NCT04417374,COVID-19,D000086382,T001007884,condition_3
4045,NCT04417374,Disease Outbreaks,D004196,T012742,condition_687
4046,NCT04417374,Mental Disorders,D001523,T004427,condition_309
4047,NCT04417673,Social Isolation,D012934,T038089,condition_220
4048,NCT04417673,Anxiety,D001007,T003092,condition_104
4049,NCT04417673,Patient Acceptance of Health Care,D010342,T030540,condition_491
4050,NCT04417673,"Anemia, Sickle Cell",D000755,T002256,condition_66
4051,NCT04417673,Pain,D010146,T030048,condition_140
4052,NCT04418128,COVID-19,D000086382,T001007884,condition_3
4054,NCT04418193,COVID-19,D000086382,T001007884,condition_3
4055,NCT04418206,COVID-19,D000086382,T001007884,condition_3
4056,NCT04418245,COVID-19,D000086382,T001007884,condition_3
4057,NCT04418284,COVID-19,D000086382,T001007884,condition_3
4058,NCT04418375,COVID-19,D000086382,T001007884,condition_3
4059,NCT04418505,COVID-19,D000086382,T001007884,condition_3
4060,NCT04418531,"Pneumonia, Viral",D011024,T032427,condition_133
4061,NCT04418531,COVID-19,D000086382,T001007884,condition_3
4062,NCT04418544,COVID-19,D000086382,T001007884,condition_3
4063,NCT04418557,COVID-19,D000086382,T001007884,condition_3
4064,NCT04418557,Pregnancy Complications,D011248,T033133,condition_353
4065,NCT04418609,Nervous System Diseases,D009422,T028092,condition_417
4066,NCT04418947,Interdisciplinary Communication,D033183,T022232,condition_688
4067,NCT04419025,COVID-19,D000086382,T001007884,condition_3
4069,NCT04419025,SARS Virus,D045473,T538594,condition_110
4070,NCT04419025,Oxidative Stress,D018384,T054818,condition_509
4071,NCT04419545,Radiology,D011871,T035030,condition_689
4072,NCT04419545,Artificial Intelligence,D001185,T003533,condition_690
4073,NCT04419571,COVID-19,D000086382,T001007884,condition_3
4074,NCT04419571,Emergencies,D004630,T014115,condition_439
4075,NCT04419610,COVID-19,D000086382,T001007884,condition_3
4076,NCT04419623,COVID-19,D000086382,T001007884,condition_3
4078,NCT04419623,Neoplasms,D009369,T027926,condition_1
4079,NCT04419623,Adenocarcinoma of Lung,D000077192,T000937330,condition_330
4080,NCT04419623,Carcinoma,D002277,T006549,condition_44
4081,NCT04419623,Hematologic Neoplasms,D019337,T057648,condition_331
4082,NCT04419870,Mitochondrial Diseases,D028361,T369289,condition_691
4083,NCT04420182,COVID-19,D000086382,T001007884,condition_3
4084,NCT04420247,COVID-19,D000086382,T001007884,condition_3
4089,NCT04420260,COVID-19,D000086382,T001007884,condition_3
4090,NCT04420273,Melanoma,D008545,T025424,condition_53
4091,NCT04420286,COVID-19,D000086382,T001007884,condition_3
4093,NCT04420299,COVID-19,D000086382,T001007884,condition_3
4094,NCT04420312,Pulmonary Embolism,D011655,T034418,condition_249
4095,NCT04420312,COVID-19,D000086382,T001007884,condition_3
4096,NCT04420338,Renal Dialysis,D006435,T019439,condition_527
4097,NCT04420338,Caregivers,D017028,T050834,condition_297
4098,NCT04420364,COVID-19,D000086382,T001007884,condition_3
4099,NCT04420364,Kidney Transplantation,D016030,T047610,condition_468
4100,NCT04420364,Immunosuppression,D007165,T021495,condition_366
4101,NCT04420390,COVID-19,D000086382,T001007884,condition_3
4102,NCT04420416,Depression,D003863,T011484,condition_105
4103,NCT04420468,COVID-19,D000086382,T001007884,condition_3
4104,NCT04420637,COVID-19,D000086382,T001007884,condition_3
4105,NCT04420676,COVID-19,D000086382,T001007884,condition_3
4106,NCT04420741,COVID-19,D000086382,T001007884,condition_3
4107,NCT04420741,Respiratory Insufficiency,D012131,T036135,condition_175
4108,NCT04420806,Exercise,D015444,T045599,condition_84
4110,NCT04420806,Muscle Weakness,D018908,T056358,condition_542
4111,NCT04420806,Muscular Atrophy,D009133,T027299,condition_692
4112,NCT04420988,COVID-19,D000086382,T001007884,condition_3
4114,NCT04420988,SARS Virus,D045473,T538594,condition_110
4115,NCT04421027,COVID-19,D000086382,T001007884,condition_3
4116,NCT04421391,COVID-19,D000086382,T001007884,condition_3
4119,NCT04421404,COVID-19,D000086382,T001007884,condition_3
4121,NCT04421508,COVID-19,D000086382,T001007884,condition_3
4124,NCT04421534,COVID-19,D000086382,T001007884,condition_3
4125,NCT04421612,COVID-19,D000086382,T001007884,condition_3
4126,NCT04421612,Anxiety,D001007,T003092,condition_104
4127,NCT04421625,COVID-19,D000086382,T001007884,condition_3
4128,NCT04421664,COVID-19,D000086382,T001007884,condition_3
4129,NCT04421664,SARS Virus,D045473,T538594,condition_110
4131,NCT04422262,Life Style,D008019,T023921,condition_652
4132,NCT04422262,Feeding Behavior,D005247,T016042,condition_287
4133,NCT04422262,Social Problems,D012940,T038102,condition_693
4134,NCT04422275,Anosmia,D000086582,T002503,condition_400
4135,NCT04422340,COVID-19,D000086382,T001007884,condition_3
4136,NCT04422353,Parkinson Disease,D010300,T030420,condition_101
4137,NCT04422353,Parkinson Disease 10,C564653,T805337,condition_694
4138,NCT04422379,COVID-19,D000086382,T001007884,condition_3
4139,NCT04422418,Heart Disease Risk Factors,D000082742,T000999814,condition_233
4140,NCT04422418,"Burnout, Psychological",D000077062,T000936505,condition_474
4141,NCT04422418,Immunologic Deficiency Syndromes,D007153,T021450,condition_543
4142,NCT04422444,COVID-19,D000086382,T001007884,condition_3
4143,NCT04422444,Critical Care,D003422,T009952,condition_240
4144,NCT04422470,Hematologic Diseases,D006402,T019343,condition_695
4145,NCT04422509,COVID-19,D000086382,T001007884,condition_3
4146,NCT04422522,Fibromyalgia,D005356,T016350,condition_88
4147,NCT04422535,COVID-19,D000086382,T001007884,condition_3
4148,NCT04422535,Critical Care,D003422,T009952,condition_240
4149,NCT04422561,COVID-19,D000086382,T001007884,condition_3
4150,NCT04422574,COVID-19,D000086382,T001007884,condition_3
4151,NCT04422587,Emergencies,D004630,T014115,condition_439
4152,NCT04422613,"Pneumonia, Viral",D011024,T032427,condition_133
4153,NCT04422626,COVID-19,D000086382,T001007884,condition_3
4155,NCT04422678,COVID-19,D000086382,T001007884,condition_3
4156,NCT04422691,COVID-19,D000086382,T001007884,condition_3
4157,NCT04422691,"Pneumonia, Viral",D011024,T032427,condition_133
4158,NCT04422691,Pneumonia,D011014,T032393,condition_74
4159,NCT04422769,Spinal Cord Injuries,D013119,T038595,condition_649
4160,NCT04422873,"Kidney Failure, Chronic",D007676,T023054,condition_402
4161,NCT04422873,COVID-19,D000086382,T001007884,condition_3
4162,NCT04422977,COVID-19,D000086382,T001007884,condition_3
4163,NCT04423003,COVID-19,D000086382,T001007884,condition_3
4164,NCT04423042,COVID-19,D000086382,T001007884,condition_3
4168,NCT04423042,Inflammation,D007249,T021731,condition_25
4169,NCT04423289,"Emergency Service, Hospital",D004636,T014151,condition_225
4170,NCT04423315,COVID-19,D000086382,T001007884,condition_3
4171,NCT04423315,Thromboembolism,D013923,T040830,condition_665
4172,NCT04423640,COVID-19,D000086382,T001007884,condition_3
4173,NCT04423692,Virus Diseases,D014777,T043232,condition_181
4174,NCT04423770,COVID-19,D000086382,T001007884,condition_3
4175,NCT04423861,COVID-19,D000086382,T001007884,condition_3
4176,NCT04423978,COVID-19,D000086382,T001007884,condition_3
4177,NCT04423991,COVID-19,D000086382,T001007884,condition_3
4179,NCT04423991,Time Factors,D013997,T041053,condition_586
4180,NCT04424004,COVID-19,D000086382,T001007884,condition_3
4181,NCT04424017,COVID-19,D000086382,T001007884,condition_3
4183,NCT04424056,COVID-19,D000086382,T001007884,condition_3
4184,NCT04424082,COVID-19,D000086382,T001007884,condition_3
4185,NCT04424082,Respiratory Distress Syndrome,D012128,T001010711,condition_14
4186,NCT04424134,COVID-19,D000086382,T001007884,condition_3
4187,NCT04424212,COVID-19,D000086382,T001007884,condition_3
4188,NCT04424355,COVID-19,D000086382,T001007884,condition_3
4189,NCT04424355,Pneumonia,D011014,T032393,condition_74
4190,NCT04424446,COVID-19,D000086382,T001007884,condition_3
4191,NCT04424771,COVID-19,D000086382,T001007884,condition_3
4192,NCT04424771,"Stress Disorders, Post-Traumatic",D013313,T039096,condition_95
4193,NCT04424797,COVID-19,D000086382,T001007884,condition_3
4194,NCT04424836,COVID-19,D000086382,T001007884,condition_3
4195,NCT04424836,"Pneumonia, Viral",D011024,T032427,condition_133
4196,NCT04424836,Respiratory Distress Syndrome,D012128,T001010711,condition_14
4197,NCT04424849,COVID-19,D000086382,T001007884,condition_3
4198,NCT04424901,COVID-19,D000086382,T001007884,condition_3
4199,NCT04424901,Cardiovascular Diseases,D002318,T006662,condition_9
4200,NCT04424940,COVID-19,D000086382,T001007884,condition_3
4201,NCT04424953,COVID-19,D000086382,T001007884,condition_3
4202,NCT04424953,Respiratory Insufficiency,D012131,T036135,condition_175
4203,NCT04424953,"Intubation, Intratracheal",D007442,T022352,condition_170
4204,NCT04424992,COVID-19,D000086382,T001007884,condition_3
4205,NCT04425005,Bariatric Surgery,D050110,T609700,condition_646
4206,NCT04425005,Obesity,D009765,T029022,condition_13
4207,NCT04425031,Respiratory Insufficiency,D012131,T036135,condition_175
4208,NCT04425031,Hyperoxia,D018496,T055094,condition_192
4209,NCT04425044,COVID-19,D000086382,T001007884,condition_3
4210,NCT04425213,COVID-19,D000086382,T001007884,condition_3
4211,NCT04425213,"Respiration, Artificial",D012121,T036100,condition_112
4212,NCT04425213,Obesity,D009765,T029022,condition_13
4213,NCT04425213,Comorbidity,D015897,T047113,condition_464
4214,NCT04425252,COVID-19,D000086382,T001007884,condition_3
4215,NCT04425317,"Infertility, Female",D007247,T021726,condition_113
4216,NCT04425317,COVID-19,D000086382,T001007884,condition_3
4217,NCT04425317,Fertilization in Vitro,D005307,T016224,condition_599
4218,NCT04425382,COVID-19,D000086382,T001007884,condition_3
4220,NCT04425382,Pneumonia,D011014,T032393,condition_74
4221,NCT04425460,COVID-19,D000086382,T001007884,condition_3
4222,NCT04425499,Sutures,D013537,T039835,condition_696
4223,NCT04425499,Educational Status,D004522,T013848,condition_697
4224,NCT04425538,COVID-19,D000086382,T001007884,condition_3
4225,NCT04425616,Neoplasms,D009369,T027926,condition_1
4226,NCT04425616,COVID-19,D000086382,T001007884,condition_3
4227,NCT04425629,COVID-19,D000086382,T001007884,condition_3
4228,NCT04425707,COVID-19,D000086382,T001007884,condition_3
4229,NCT04425720,COVID-19,D000086382,T001007884,condition_3
4230,NCT04425733,COVID-19,D000086382,T001007884,condition_3
4231,NCT04425733,Pneumonia,D011014,T032393,condition_74
4232,NCT04425733,Hypoxia,D000860,T002508,condition_310
4233,NCT04425759,COVID-19,D000086382,T001007884,condition_3
4237,NCT04425772,COVID-19,D000086382,T001007884,condition_3
4238,NCT04425837,COVID-19,D000086382,T001007884,condition_3
4240,NCT04425850,COVID-19,D000086382,T001007884,condition_3
4241,NCT04425863,"Respiration, Artificial",D012121,T036100,condition_112
4242,NCT04425863,Pneumonia,D011014,T032393,condition_74
4243,NCT04425889,COVID-19,D000086382,T001007884,condition_3
4245,NCT04425915,COVID-19,D000086382,T001007884,condition_3
4246,NCT04426006,COVID-19,D000086382,T001007884,condition_3
4247,NCT04426006,Serum,D044967,T535270,condition_698
4248,NCT04426071,Brain Injuries,D001930,T005492,condition_699
4249,NCT04426071,Stroke,D020521,T007470,condition_401
4250,NCT04426071,Spinal Cord Injuries,D013119,T038595,condition_649
4251,NCT04426084,COVID-19,D000086382,T001007884,condition_3
4252,NCT04426201,COVID-19,D000086382,T001007884,condition_3
4253,NCT04426201,Lymphopenia,D008231,T024527,condition_532
4254,NCT04426253,COVID-19,D000086382,T001007884,condition_3
4256,NCT04426266,Surveys and Questionnaires,D011795,T000879796,condition_314
4257,NCT04426266,COVID-19,D000086382,T001007884,condition_3
4258,NCT04426266,"Stress, Psychological",D013315,T039102,condition_177
4259,NCT04426266,"Adaptation, Psychological",D000223,T000655,condition_539
4260,NCT04426266,Patient Health Questionnaire,D000073222,T000906356,condition_700
4262,NCT04426266,Health Status Indicators,D006305,T019125,condition_701
4263,NCT04426266,Diagnostic Self Evaluation,D059026,T772995,condition_702
4264,NCT04426266,Affect,D000339,T001098,condition_677
4265,NCT04426279,COVID-19,D000086382,T001007884,condition_3
4266,NCT04426279,"Arthritis, Rheumatoid",D001172,T003511,condition_251
4267,NCT04426279,Rheumatic Diseases,D012216,T036335,condition_343
4268,NCT04426292,COVID-19,D000086382,T001007884,condition_3
4269,NCT04426305,COVID-19,D000086382,T001007884,condition_3
4270,NCT04426305,Social Isolation,D012934,T038089,condition_220
4271,NCT04426305,Mental Health,D008603,T025592,condition_212
4272,NCT04426318,Anxiety,D001007,T003092,condition_104
4273,NCT04426318,Depression,D003863,T011484,condition_105
4274,NCT04426318,"Stress, Psychological",D013315,T039102,condition_177
4275,NCT04426318,Psychological Distress,D000079225,T000947361,condition_377
4276,NCT04426318,Well-being,0,0,condition_259
4277,NCT04426344,COVID-19,D000086382,T001007884,condition_3
4278,NCT04426695,COVID-19,D000086382,T001007884,condition_3
4279,NCT04427098,COVID-19,D000086382,T001007884,condition_3
4280,NCT04427137,Bipolar Disorder,D001714,T004982,condition_109
4281,NCT04427176,Nurse,0,0,condition_625
4282,NCT04427254,COVID-19,D000086382,T001007884,condition_3
4283,NCT04427267,Personal Protective Equipment,D000067393,T000869095,condition_615
4284,NCT04427280,Communicable Diseases,D003141,T009157,condition_160
4285,NCT04427280,Neoplasms,D009369,T027926,condition_1
4286,NCT04427280,COVID-19,D000086382,T001007884,condition_3
4287,NCT04427332,COVID-19,D000086382,T001007884,condition_3
4288,NCT04427345,COVID-19,D000086382,T001007884,condition_3
4289,NCT04427358,COVID-19,D000086382,T001007884,condition_3
4290,NCT04427501,COVID-19,D000086382,T001007884,condition_3
4291,NCT04427566,COVID-19,D000086382,T001007884,condition_3
4292,NCT04427631,Persons With Hearing Impairments,D019986,T059589,condition_703
4293,NCT04427631,Otitis Media with Effusion,D010034,T029685,condition_704
4294,NCT04427631,Hearing Loss,D034381,T371316,condition_705
4295,NCT04427735,ST Elevation Myocardial Infarction,D000072657,T000900888,condition_669
4296,NCT04427813,Sexual Behavior,0,0,condition_505
4297,NCT04427865,COVID-19,D000086382,T001007884,condition_3
4298,NCT04427878,COVID-19,D000086382,T001007884,condition_3
4299,NCT04427969,COVID-19,D000086382,T001007884,condition_3
4300,NCT04427969,Respiratory Distress Syndrome,D012128,T001010711,condition_14
4301,NCT04428008,COVID-19,D000086382,T001007884,condition_3
4302,NCT04428021,COVID-19,D000086382,T001007884,condition_3
4303,NCT04428073,COVID-19,D000086382,T001007884,condition_3
4304,NCT04428099,"Depressive Disorder, Major",D003865,T011490,condition_553
4305,NCT04428268,COVID-19,D000086382,T001007884,condition_3
4306,NCT04428801,COVID-19,D000086382,T001007884,condition_3
4307,NCT04429334,COVID-19,D000086382,T001007884,condition_3
4308,NCT04429477,Intracranial Hypertension,D019586,T058296,condition_706
4309,NCT04429477,Shock,D012769,T037695,condition_268
4310,NCT04429529,COVID-19,D000086382,T001007884,condition_3
4311,NCT04429555,"Pneumonia, Viral",D011024,T032427,condition_133
4312,NCT04429594,COVID-19,D000086382,T001007884,condition_3
4313,NCT04429620,COVID-19,D000086382,T001007884,condition_3
4314,NCT04429711,COVID-19,D000086382,T001007884,condition_3
4315,NCT04429724,COVID-19,D000086382,T001007884,condition_3
4316,NCT04429763,COVID-19,D000086382,T001007884,condition_3
4317,NCT04429815,Smoking,D012907,T038030,condition_707
4318,NCT04429828,"Stress, Psychological",D013315,T039102,condition_177
4319,NCT04429854,COVID-19,D000086382,T001007884,condition_3
4320,NCT04429867,COVID-19,D000086382,T001007884,condition_3
4321,NCT04430023,COVID-19,D000086382,T001007884,condition_3
4322,NCT04430023,Pneumonia,D011014,T032393,condition_74
4323,NCT04430023,Respiratory Distress Syndrome,D012128,T001010711,condition_14
4324,NCT04430049,COVID-19,D000086382,T001007884,condition_3
4325,NCT04430049,Family,D005190,T015896,condition_662
4326,NCT04430049,Critical Illness,D016638,T049821,condition_17
4327,NCT04430062,Family Practice,D005194,T015940,condition_273
4328,NCT04430062,Disease Outbreaks,D004196,T012742,condition_687
4329,NCT04430322,COVID-19,D000086382,T001007884,condition_3
4330,NCT04430374,Cardiovascular Diseases,D002318,T006662,condition_9
4331,NCT04430608,"Diabetes Mellitus, Type 2",D003924,T011751,condition_6
4332,NCT04430608,COVID-19,D000086382,T001007884,condition_3
4333,NCT04430608,Infection,0,0,condition_418
4334,NCT04431180,Blood Donors,D001782,T005183,condition_2
4335,NCT04431284,Feeding and Eating Disorders,D001068,T000882833,condition_708
4336,NCT04431297,Hydrocortisone,D006854,T020679,condition_172
4337,NCT04431310,COVID-19,D000086382,T001007884,condition_3
4338,NCT04431310,Health Personnel,D006282,T019031,condition_261
4339,NCT04431310,Organizations,D009938,T029405,condition_709
4340,NCT04431414,COVID-19,D000086382,T001007884,condition_3
4342,NCT04431453,COVID-19,D000086382,T001007884,condition_3
4343,NCT04431466,COVID-19,D000086382,T001007884,condition_3
4344,NCT04431856,Anxiety,D001007,T003092,condition_104
4345,NCT04431856,Depression,D003863,T011484,condition_105
4346,NCT04431856,"Stress Disorders, Traumatic",D040921,T494740,condition_346
