indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome,standard_outcome,standard_outcome_id,outcome_id,"checker (Manually add results if checker is empty,Manually filter if the number of checkers is greater than or equal to 2)",Time_Frame
120,NCT04280705,Change From Baseline in Hemoglobin,O1:475|O2:475|O1:475|O2:475|O1:420|O2:406|O1:334|O2:310|O1:269|O2:230|O1:253|O2:260|O1:189|O2:227,O1:-0.52|O2:-0.69|O1:-0.83|O2:-0.99|O1:-1.22|O2:-0.49|O1:-1.66|O2:-1.29|O1:-1.51|O2:-1.02|O1:-1.02|O2:-1.21,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Hemoglobin,Hemoglobin,indicator_66,outcome_120,['Hemoglobin'],Time Frame: Day 1 through Day 29 
121,NCT04280705,Change From Baseline in Platelets,O1:471|O2:474|O1:471|O2:474|O1:419|O2:403|O1:332|O2:308|O1:269|O2:229|O1:252|O2:258|O1:189|O2:224,O1:39.3|O2:46.0|O1:76.5|O2:90.1|O1:111.8|O2:130.8|O1:109.3|O2:101.0|O1:96.5|O2:71.1|O1:32.7|O2:39.6,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Platelets,Platelet,indicator_67,outcome_121,"['Platelets', 'Platelet']","Time Frame: From date of randomization until first positive culture or clinical diagnosis of infection if occurs, assessed up to 3 months "
122,NCT04280705,Change From Baseline in Prothrombin Time (PT),O1:339|O2:352|O1:339|O2:352|O1:296|O2:306|O1:246|O2:234|O1:199|O2:182|O1:176|O2:193|O1:134|O2:163,O1:-0.18|O2:0.44|O1:-0.30|O2:1.15|O1:0.01|O2:1.43|O1:0.86|O2:1.88|O1:0.34|O2:-0.03|O1:-0.28|O2:-0.63,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Prothrombin Time (PT),PT,indicator_82,outcome_122,['Prothrombin Time (PT)'],Time Frame: 24 hours after 2000 U dose intranasal heparin 
123,NCT04280705,Change From Baseline in Total Bilirubin,O1:451|O2:456|O1:451|O2:456|O1:394|O2:389|O1:315|O2:288|O1:247|O2:220|O1:237|O2:254|O1:178|O2:216,O1:0.08|O2:-0.04|O1:0.58|O2:-0.03|O1:0.22|O2:0.01|O1:0.23|O2:0.07|O1:0.00|O2:0.09|O1:-0.17|O2:-0.12,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Total Bilirubin,Total Bilirubin,indicator_69,outcome_123,['Total Bilirubin'],Time Frame: Pre-SSI to Immediately Post-SSI; Pre-SSI to 3-month follow-up 
124,NCT04280705,Change From Baseline in White Blood Cell Count (WBC),O1:474|O2:475|O1:474|O2:475|O1:419|O2:405|O1:333|O2:310|O1:268|O2:230|O1:252|O2:260|O1:189|O2:226,O1:18.691|O2:-18.970|O1:9.886|O2:-28.209|O1:27.223|O2:-45.997|O1:1.967|O2:-34.702|O1:56.311|O2:-70.884|O1:-0.898|O2:0.251,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,White Blood Cell Count (WBC),WBC,indicator_70,outcome_124,['White Blood Cell Count (WBC)'],Time Frame: 0 to 24 hours post-dose 
125,NCT04280705,Change From Baseline in Neutrophils,O1:463|O2:459|O1:463|O2:459|O1:406|O2:389|O1:317|O2:298|O1:257|O2:220|O1:241|O2:253|O1:177|O2:218,O1:9.429|O2:-8.093|O1:4.177|O2:-15.067|O1:17.916|O2:-28.179|O1:3.010|O2:-21.773|O1:36.024|O2:-39.988|O1:-1.269|O2:-0.840,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Neutrophils,Neutrophils,indicator_71,outcome_125,['Neutrophils'],Time Frame: Day 14 
126,NCT04280705,Change From Baseline in Lymphocytes,O1:463|O2:459|O1:463|O2:459|O1:406|O2:389|O1:317|O2:299|O1:257|O2:220|O1:241|O2:253|O1:177|O2:218,O1:5.883|O2:-7.847|O1:4.064|O2:-11.723|O1:8.006|O2:-15.455|O1:0.393|O2:-12.016|O1:14.793|O2:-23.836|O1:0.668|O2:0.743,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Lymphocytes,Lymphocytes,indicator_72,outcome_126,['Lymphocytes'],Time Frame: 29 days 
127,NCT04280705,Change From Baseline in Monocytes,O1:463|O2:458|O1:463|O2:458|O1:406|O2:388|O1:316|O2:299|O1:257|O2:220|O1:241|O2:253|O1:177|O2:218,O1:2.448|O2:-2.940|O1:1.498|O2:-2.628|O1:2.324|O2:-3.645|O1:0.383|O2:-2.539|O1:6.475|O2:-8.738|O1:0.125|O2:0.117,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Monocytes,Monocytes,indicator_73,outcome_127,['Monocytes'],Time Frame: 5 days 
128,NCT04280705,Change From Baseline in Basophils,O1:455|O2:452|O1:455|O2:452|O1:394|O2:380|O1:309|O2:293|O1:253|O2:218|O1:235|O2:248|O1:176|O2:216,O1:0.020|O2:0.005|O1:0.038|O2:0.005|O1:0.196|O2:0.005|O1:0.024|O2:0.028|O1:0.158|O2:-0.058|O1:0.040|O2:0.029,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Basophils,Basophils,indicator_74,outcome_128,['Basophils'],Time Frame: From 6th to the end of 10th day 
129,NCT04280705,Change From Baseline in Eosinophils,O1:456|O2:455|O1:456|O2:455|O1:397|O2:387|O1:311|O2:293|O1:254|O2:218|O1:237|O2:251|O1:176|O2:217,O1:0.634|O2:0.016|O1:0.666|O2:-0.066|O1:0.596|O2:-0.221|O1:0.093|O2:-0.088|O1:1.992|O2:-0.420|O1:0.241|O2:0.211,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Eosinophils,Eosinophils,indicator_75,outcome_129,['Eosinophils'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
130,NCT04280705,Change in National Early Warning Score (NEWS) From Baseline,O1:499|O2:502|O1:499|O2:502|O1:447|O2:438|O1:348|O2:321|O1:291|O2:254|O1:290|O2:301|O1:151|O2:120|O1:221|O2:251,O1:0.1|O2:-0.3|O1:0.3|O2:-0.4|O1:-0.3|O2:-0.5|O1:-0.3|O2:-0.5|O1:-1.4|O2:-1.7|O1:-1.4|O2:-1.7|O1:-3.2|O2:-3.3,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,National Early Warning Score (NEWS),NEWS,indicator_76,outcome_130,['National Early Warning Score (NEWS)'],Time Frame: Up to 28 days 
131,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 1,O1:521|O2:541,O1:0|O2:0|O1:30|O2:24|O1:19|O2:18|O1:39|O2:43|O1:12|O2:14|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0|O2:1|O1:0|O2:0|O1:1|O2:1,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,indicator_79,outcome_131,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Baseline (Day 1), Day 7, Day 14 Day 21 & Day 30 "
132,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 3,O1:521|O2:541,O1:1|O2:1|O1:36|O2:28|O1:17|O2:16|O1:32|O2:37|O1:12|O2:13|O1:0.4|O2:0.2|O1:0|O2:0|O1:0|O2:0.4|O1:0|O2:0|O1:0.2|O2:2|O1:1|O2:2,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,indicator_79,outcome_132,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day14, Day 21 & Day30 "
133,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 5,O1:521|O2:541,O1:2|O2:2|O1:37|O2:28|O1:14|O2:12|O1:26|O2:28|O1:11|O2:15|O1:1|O2:1|O1:0|O2:0.2|O1:0.2|O2:0|O1:0|O2:0|O1:7|O2:12|O1:2|O2:3,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,indicator_79,outcome_133,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day14, Day 21 & Day30 "
134,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 8,O1:521|O2:541,O1:7|O2:3|O1:33|O2:24|O1:9|O2:9|O1:15|O2:17|O1:10|O2:11|O1:1|O2:1|O1:0|O2:0.2|O1:0.2|O2:0|O1:0|O2:0.4|O1:22|O2:30|O1:2|O2:4,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,indicator_79,outcome_134,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day14, Day 21 & Day30 "
135,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 11,O1:521|O2:541,O1:8|O2:4|O1:28|O2:22|O1:7|O2:6|O1:13|O2:11|O1:6|O2:7|O1:2|O2:2|O1:0.4|O2:0.4|O1:0.2|O2:0|O1:0|O2:0|O1:33|O2:44|O1:2|O2:4,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,indicator_79,outcome_135,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day7, Day14, Day21 & Day 30 "
136,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 15,O1:521|O2:541,O1:11|O2:6|O1:22|O2:15|O1:4|O2:4|O1:11|O2:10|O1:6|O2:7|O1:2|O2:3|O1:17|O2:19|O1:22|O2:29|O1:0|O2:0|O1:2|O2:2|O1:3|O2:5,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,indicator_79,outcome_136,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day7 ,Day 14 ,Day 21, Day 30 "
137,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 22,O1:521|O2:541,O1:13|O2:9|O1:14|O2:9|O1:2|O2:2|O1:8|O2:5|O1:5|O2:6|O1:1|O2:1|O1:18|O2:19|O1:32|O2:39|O1:0|O2:0|O1:2|O2:3|O1:4|O2:6|O1:0|O2:0.2,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,indicator_79,outcome_137,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day 14, Day 21 & Day 30 "
138,NCT04280705,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 29,O1:521|O2:541,O1:15|O2:11|O1:9|O2:6|O1:2|O2:1|O1:4|O2:4|O1:3|O2:3|O1:1|O2:1|O1:19|O2:20|O1:36|O2:46|O1:0.2|O2:0|O1:3|O2:1|O1:5|O2:7|O1:3|O2:2,Placebo|Remdesivir,Ordinal Scale,Ordinal Scale,indicator_79,outcome_138,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day14, Day 21 and Day 30. "
139,NCT04280705,Percentage of Participants Reporting Grade 3 and 4 Clinical and/or Laboratory Adverse Events (AEs),O1:516|O2:532,O1:57|O2:51,Placebo|Remdesivir,Adverse Events,Adverse,indicator_10,outcome_139,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. 
140,NCT04280705,Percentage of Participants Reporting Serious Adverse Events (SAEs),O1:516|O2:532,O1:32|O2:24,Placebo|Remdesivir,Adverse Events,Adverse,indicator_10,outcome_140,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. 
141,NCT04280705,Percentage of Participants Discontinued or Temporarily Suspended From Investigational Therapeutics,O1:521|O2:541,O1:30|O2:41|O1:4|O2:3|O1:2|O2:2|O1:21|O2:16,Placebo|Remdesivir,Discontinued,Discontinued,indicator_78,outcome_141,"['Discontinued or Temporarily Suspended From Investigational Therapeutics', 'Discontinued']",Time Frame: Day 1 through Day 29 
142,NCT04280705,Duration of Hospitalization,O1:521|O2:541|O1:521|O2:541|O1:443|O2:480,O1:17|O2:12|O1:14|O2:10,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Hospitalization,Hospitalization,indicator_18,outcome_142,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 8 
143,NCT04280705,Duration of New Non-invasive Ventilation or High Flow Oxygen Use,O1:64|O2:52|O1:64|O2:52|O1:50|O2:43,O1:4|O2:3|O1:3|O2:3,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,New Non-invasive Ventilation or High Flow Oxygen Use ,Oxygen,indicator_8,outcome_143,"['Oxygen', 'New Non-invasive Ventilation or High Flow Oxygen Use', 'Oxygen Use']",Time Frame: Up to 28 days 
144,NCT04280705,Duration of New Oxygen Use,O1:28|O2:27|O1:28|O2:27|O1:25|O2:24,O1:5.5|O2:4|O1:3|O2:3.5,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,New Oxygen Use ,Oxygen,indicator_8,outcome_144,"['Oxygen', 'New Oxygen Use', 'Oxygen Use']",Time Frame: 30 days after clinic discharge 
145,NCT04280705,Duration of New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,O1:82|O2:52|O1:82|O2:52|O1:57|O2:39,O1:23|O2:21.5|O1:16|O2:14,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use ,ECMO,indicator_77,outcome_145,"['Oxygen', 'ECMO', 'New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use']",Time Frame: 10 days during inhalation 
146,NCT04280705,Percentage of Participants Requiring New Non-invasive Ventilation or High-flow Oxygen Use,O1:266|O2:307,O1:24|O2:17,Placebo|Remdesivir,Participants Requiring New Non-invasive Ventilation or High-flow Oxygen Use,Oxygen,indicator_8,outcome_146,"['Oxygen', 'Participants Requiring New Non-invasive Ventilation or High-flow Oxygen Use', 'Oxygen Use']",Time Frame: 28 days after randomization 
147,NCT04280705,Percentage of Participants Requiring New Oxygen Use,O1:63|O2:75,O1:44|O2:36,Placebo|Remdesivir,Participants Requiring New Oxygen Use,Oxygen,indicator_8,outcome_147,"['Oxygen', 'New Oxygen Use', 'Participants Requiring New Oxygen Use', 'Oxygen Use']",Time Frame: 28 days after randomization 
148,NCT04280705,Percentage of Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,O1:364|O2:402,O1:23|O2:13,Placebo|Remdesivir,Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,ECMO,indicator_77,outcome_148,"['Oxygen', 'ECMO', 'Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use', 'New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use']",Time Frame: 28 days after randomization 
149,NCT04280705,Mean Change in the Ordinal Scale,O1:518|O2:533,O1:0.2|O2:0.1|O1:0.1|O2:0.0|O1:0.0|O2:-0.2|O1:-0.1|O2:-0.3|O1:-1.4|O2:-1.9|O1:-1.9|O2:-2.4|O1:-2.3|O2:-2.7,Placebo|Remdesivir,Ordinal Scale ,Ordinal Scale,indicator_79,outcome_149,"['Ordinal Scale', 'Mean Change', 'ordinal scale']",Time Frame: assessed on study day 3 
150,NCT04280705,14-day Participant Mortality,O1:521|O2:541,O1:0.12|O2:0.07,Placebo|Remdesivir,Mortality,Death ,indicator_16,outcome_150,['Mortality'],Time Frame: Day 28 
151,NCT04280705,29-day Participant Mortality,O1:521|O2:541,O1:0.15|O2:0.11,Placebo|Remdesivir,Mortality,Death ,indicator_16,outcome_151,['Mortality'],Time Frame: 28 days 
152,NCT04280705,Time to an Improvement by at Least One Category Using an Ordinal Scale,O1:521|O2:541,O1:9|O2:7,Placebo|Remdesivir,Improvement,Improvement,indicator_54,outcome_152,"['Ordinal Scale', 'improvement', 'Improvement', 'ordinal scale']",Time Frame: 15 days 
153,NCT04280705,Time to an Improvement of at Least Two Categories Using an Ordinal Scale,O1:521|O2:541,O1:14|O2:11,Placebo|Remdesivir,Improvement,Improvement,indicator_54,outcome_153,"['Ordinal Scale', 'improvement', 'Improvement', 'ordinal scale']",Time Frame: 6 days and 10 Days 
154,NCT04280705,"Time to Discharge or to a NEWS of 2 or Less and Maintained for 24 Hours, Whichever Occurs First",O1:521|O2:541,O1:12|O2:8,Placebo|Remdesivir,Discharge,Discharge,indicator_80,outcome_154,"['discharge', 'Discharge']",Time Frame: Day 15 
155,NCT04332081,Mortality,O1:20|O2:60,O1:10|O2:22,Hyperbaric Oxygen Therapy (HBOT)|Standard of Care,Mortality,Death ,indicator_16,outcome_155,['Mortality'],NA
156,NCT04332081,Need for Mechanical Ventilation,O1:20|O2:60,O1:2|O2:18,Hyperbaric Oxygen Therapy (HBOT)|Standard of Care,Mechanical Ventilation,Mechanical Ventilation,indicator_9,outcome_156,"['mechanical Ventilation', 'Mechanical Ventilation']",NA
157,NCT04329923,Time to Release From Quarantine Time,O1:15|O2:13,O1:8|O2:11,Cohort 1 HCQ|Cohort 1 Placebo,Release,Release,indicator_83,outcome_157,[],NA
158,NCT04329923,Time to Hospital Discharge,O1:4|O2:3,O1:5.5|O2:4,Cohort 2 HCQ High Dose|Cohort 2 HCQ Low Dose,discharge,Discharge,indicator_80,outcome_158,"['discharge', 'Discharge', 'Hospital']",NA
159,NCT04329923,Number of Health Care Workers Who Developed SARS-COV-2 Infection,O1:64|O2:61,O1:4|O2:4,Cohort 3 HCQ|Cohort 3 Placebo,Infect,Infect,indicator_84,outcome_159,['Infect'],NA
160,NCT04329923,Rate of Housemate Infection,O1:17|O2:17,O1:2|O2:2,Cohort 1 HCQ|Cohort 1 Placebo,Infect,Infect,indicator_84,outcome_160,['Infect'],NA
161,NCT04329923,Rate of Hospitalization,O1:17|O2:17,O1:1|O2:0,Cohort 1 HCQ|Cohort 1 Placebo,Hospitalization,Hospitalization,indicator_18,outcome_161,"['Hospitalization', 'hospitalization', 'Hospital']",NA
162,NCT04329923,Time to Release From Quarantine Time,NA,NA,NA,Release,Release,indicator_83,outcome_157,[],NA
163,NCT04329923,Time to Hospital Discharge,NA,NA,NA,discharge,Discharge,indicator_80,outcome_158,"['discharge', 'Discharge', 'Hospital']",NA
164,NCT04329923,Number of Health Care Workers Who Developed SARS-COV-2 Infection,NA,NA,NA,Infect,Infect,indicator_84,outcome_159,['Infect'],NA
165,NCT04329923,Rate of Housemate Infection,NA,NA,NA,Infect,Infect,indicator_84,outcome_160,['Infect'],NA
166,NCT04329923,Rate of Hospitalization,NA,NA,NA,Hospitalization,Hospitalization,indicator_18,outcome_161,"['Hospitalization', 'hospitalization', 'Hospital']",NA
167,NCT04329923,Time to Release From Quarantine Time,NA,NA,NA,Release,Release,indicator_83,outcome_157,[],NA
168,NCT04329923,Time to Hospital Discharge,NA,NA,NA,discharge,Discharge,indicator_80,outcome_158,"['discharge', 'Discharge', 'Hospital']",NA
169,NCT04329923,Number of Health Care Workers Who Developed SARS-COV-2 Infection,NA,NA,NA,Infect,Infect,indicator_84,outcome_159,['Infect'],NA
170,NCT04329923,Rate of Housemate Infection,NA,NA,NA,Infect,Infect,indicator_84,outcome_160,['Infect'],NA
171,NCT04329923,Rate of Hospitalization,NA,NA,NA,Hospitalization,Hospitalization,indicator_18,outcome_161,"['Hospitalization', 'hospitalization', 'Hospital']",NA
172,NCT04410159,Number of Participants With Early Viral Clearance,O1:5|O2:5|O3:5|O4:5,O1:5|O2:4|O3:1|O4:0,Povidone-iodine|Essential Oils|Tap Water|Control,Viral Clearance,Viral Clearance,indicator_55,outcome_162,['Viral Clearance'],Time Frame: Pre-SSI 
173,NCT04410159,Number of Participants With Negative RT-PCR Results,O1:5|O2:5|O3:5|O4:5,O1:5|O2:4|O3:2|O4:1,Povidone-iodine|Essential Oils|Tap Water|Control,RT-PCR,RT-PCR,indicator_85,outcome_163,['RT-PCR'],Time Frame: Baseline to Day 29 
174,NCT04410159,Number of Patients That Progress to More Severe Disease,O1:5|O2:5|O3:5|O4:5,O1:0|O2:0|O3:0|O4:0,Povidone-iodine|Essential Oils|Tap Water|Control,More Severe Disease,More Severe Disease,indicator_86,outcome_164,['More Severe Disease'],Time Frame: Day 14 
175,NCT04410159,Number of Patients With Abnormal Radiological Findings,O1:5|O2:5|O3:5|O4:5,O1:0|O2:0|O3:0|O4:0,Povidone-iodine|Essential Oils|Tap Water|Control,Abnormal Radiological,Abnormal Radiological,indicator_87,outcome_165,['Abnormal Radiological'],Time Frame: Treatment period of 7 days ((Day 1 to Day 8) 
176,NCT04410159,Number of Patients With Abnormal Laboratory Findings,O1:5|O2:5|O3:5|O4:5,O1:0|O2:0|O3:0|O4:0,Povidone-iodine|Essential Oils|Tap Water|Control,Abnormal Laboratory Findings,Abnormal Laboratory Findings,indicator_88,outcome_166,['Abnormal Laboratory Findings'],Time Frame: Treatment period of 7 days (Day 1 to Day 8) 
177,NCT04335136,All Cause-death or Invasive Mechanical Ventilation,O1:88|O2:90,O1:9|O2:12,Group A (Active) APN01|Group B (Placebo Control),Death,Death ,indicator_16,outcome_167,"['mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Death']",NA
178,NCT04335136,Lactate Dehydrogenase (LDH) Level,O1:74|O2:74,O1:5.82|O2:5.80,Group A (Active) APN01|Group B (Placebo Control),LDH,LDH,indicator_89,outcome_168,['LDH'],NA
179,NCT04335136,Mortality,O1:88|O2:90,O1:9|O2:7,Group A (Active) APN01|Group B (Placebo Control),Mortality,Death ,indicator_16,outcome_169,['Mortality'],NA
180,NCT04335136,Ventilator-free Days (VFD),O1:88|O2:90|O1:88|O2:90|O1:88|O2:90|O1:80|O2:84|O1:88|O2:90|O1:88|O2:90|O1:79|O2:83,O1:17.2|O2:16.7|O1:17.4|O2:16.7|O1:18.9|O2:17.9|O1:25.7|O2:25.1|O1:26.3|O2:25.6|O1:28.2|O2:26.9,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),Ventilator-free,Ventilator-free,indicator_90,outcome_170,['Ventilator-free'],NA
181,NCT04335136,Time to Death,O1:88|O2:90,NA|NA,Group A (Active) APN01|Group B (Placebo Control),Death,Death ,indicator_16,outcome_171,['Death'],NA
182,NCT04335136,"Number of Responders, Defined as ≥2 Improvement in World Health Organization (WHO)'s 11-Point Score System at Days 7, 10, 14 and 28",O1:88|O2:90|O1:88|O2:88|O1:86|O2:85|O1:83|O2:85|O1:79|O2:83,O1:2|O2:0|O1:17|O2:13|O1:38|O2:32|O1:72|O2:74,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),Improvement,Improvement,indicator_54,outcome_172,"['improvement', 'Improvement']",NA
183,NCT04335136,Time to Hospital Discharge,O1:88|O2:90,O1:14|O2:14,Group A (Active) APN01|Group B (Placebo Control),discharge,Discharge,indicator_80,outcome_173,"['discharge', 'Discharge', 'Hospital']",NA
184,NCT04335136,Viral Ribonucleic Acid (RNA).,O1:88|O2:90|O1:59|O2:49|O1:47|O2:58|O1:56|O2:64|O1:65|O2:61|O1:73|O2:73|O1:37|O2:0,O1:27996|O2:3900|O1:20931|O2:13681|O1:9825|O2:11912|O1:5229|O2:2094|O1:9274|O2:53|O1:36,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),Viral Ribonucleic Acid (RNA),RNA,indicator_91,outcome_174,[],NA
185,NCT04335136,Time to a 2-point Decrease in WHO's 11-Point Score System,O1:88|O2:90,O1:27|O2:27,Group A (Active) APN01|Group B (Placebo Control),WHO's 11-Point Score,WHO's 11-Point Score,indicator_92,outcome_175,[],NA
186,NCT04335136,Number of Patients With Any Use of Invasive Mechanical Ventilation up to 28 Days or Hospital Discharge,O1:88|O2:90,O1:7|O2:7|O1:86|O2:88,Group A (Active) APN01|Group B (Placebo Control),Invasive Mechanical Ventilation/ Hospital Discharge,Mechanical Ventilation,indicator_9,outcome_176,"['discharge', 'Discharge', 'mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Hospital']",NA
187,NCT04335136,Time to First Use of Invasive Mechanical Ventilation up to 28 Days or Hospital Discharge,O1:88|O2:90,NA|NA,Group A (Active) APN01|Group B (Placebo Control),Invasive Mechanical Ventilation/ Hospital Discharge,Mechanical Ventilation,indicator_9,outcome_177,"['discharge', 'Discharge', 'mechanical Ventilation', 'Mechanical Ventilation', 'Invasive Mechanical Ventilation', 'Hospital']",NA
188,NCT04335136,PaO2/FiO2 Value,O1:88|O2:90|O1:30|O2:28|O1:19|O2:24|O1:14|O2:13|O1:9|O2:11|O1:1|O2:3,O1:223.07|O2:185.14|O1:218.74|O2:192.21|O1:290.00|O2:186.62|O1:197.00|O2:185.00|O1:261.00|O2:185.00,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),PaO2/FiO2,P/F Ratio,indicator_47,outcome_178,['PaO2/FiO2'],NA
189,NCT04335136,"Modified Sequential Organ Failure Assessment Score (mSOFA Score, Total Score)",O1:88|O2:90|O1:80|O2:80|O1:83|O2:77|O1:80|O2:77|O1:79|O2:75|O1:39|O2:38,O1:2.6|O2:2.2|O1:1.8|O2:1.6|O1:1.0|O2:1.0|O1:1.0|O2:0.9|O1:0.2|O2:0.8,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),"Modified Sequential Organ Failure Assessment Score (mSOFA Score, Total Score)","Modified Sequential Organ Failure Assessment Score (mSOFA Score, Total Score)",indicator_93,outcome_179,[],NA
