nctid,title,Study_Designs,Other_IDs,Locations,URL
NCT04342897,A Study of LY3127804 in Participants With COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",17824|I7W-MC-UDAA,"Banner Univ Med Ctr Phoenix, Phoenix, Arizona, United States|Banner Univ Med Ctr Tucson, Tucson, Arizona, United States|National Jewish Medical and Research Center, Denver, Colorado, United States|Nuvance Danbury Hospital, Danbury, Connecticut, United States|NorthShore University HealthSystem, Evanston, Illinois, United States|Parkview Research Center, Fort Wayne, Indiana, United States|Franciscan St. Francis Health, Indianapolis, Indiana, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Lahey Hospital and Medical Center, Burlington, Massachusetts, United States|Henry Ford Hospital Detroit, Detroit, Michigan, United States|Allina Hospital Network, Minneapolis, Minnesota, United States|State University of New York Hospital, Syracuse, New York, United States|East Carolina University, Greenville, North Carolina, United States",https://ClinicalTrials.gov/show/NCT04342897
NCT04844515,The ESPERES Prospective Cohort of Healthcare Workers in France: Study on COVID-19 Vaccine and the COVID-19 Pandemic (ESPERES_COVID19),Observational Model: Cohort|Time Perspective: Prospective,APHP210173.1,"Pitié-Salpêtrière - Charles Foix, AP-HP, Paris, France",https://ClinicalTrials.gov/show/NCT04844515
NCT04347876,Outcome of COVID-19 Cases Based on Tuberculin Test: Can Previous BCG Alter the Prognosis?,Observational Model: Case-Control|Time Perspective: Prospective,AssiutU12,"AssiutU, Assiut, Egypt",https://ClinicalTrials.gov/show/NCT04347876
NCT04701606,The Safety and Efficacy of Pyronaridine-artesunate (Pyramax® or Artecom®)in COVID-19 Patients,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",SP-PA-COV-203,"Lung Center of the Philippines, Quezon City, Quezon Avenue, Quezon City, 1100 Philippines, Philippines|Philippine General Hospital, Manila, Taft Ave, Ermita, Manila, 1000 Metro, Philippines",https://ClinicalTrials.gov/show/NCT04701606
NCT04497779,Analysis of Coronavirus Disease 19 (COVID-19) Convalescent Plasma,Observational Model: Cohort|Time Perspective: Prospective,20204|NCI-2020-04000|P30CA033572|TGen,"City of Hope Medical Center, Duarte, California, United States",https://ClinicalTrials.gov/show/NCT04497779
NCT04969250,Vaccination for Recovered Inpatients With COVID-19 (VATICO),Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,016 / VATICO,NA,https://ClinicalTrials.gov/show/NCT04969250
NCT04895007,Comparative Evaluation of Covid-19 Vaccines Response,Observational Model: Case-Crossover|Time Perspective: Prospective,2021-04-30T1,"Karamanoglu Mehmetbey University, Karaman, Turkey|Selcuk University, Konya, Turkey|Tekirdag Namık Kemal University, Faculty of Medicine, Tekirdağ, Turkey|Karadeniz Technic University, Faculty of Medicine, Trabzon, Turkey",https://ClinicalTrials.gov/show/NCT04895007
NCT04753346,Comparison of Cardiopulmonary Fitness Level With Normal Values After COVID-19,Observational Model: Other|Time Perspective: Cross-Sectional,I11-670-20,"Ankara University, Faculty of Medicine, Physical Medicine and Rehabilitation Department, Ankara, Turkey",https://ClinicalTrials.gov/show/NCT04753346
NCT04483960,Australasian COVID-19 Trial (ASCOT) ADAptive Platform Trial,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ERM 62646-A,"Calvary Public Bruce Hospital, Bruce, Australian Capital Territory, Australia|The Canberra Hospital, Canberra, Australian Capital Territory, Australia|Armidale Hospital, Armidale, New South Wales, Australia|Bankstown-Lidcombe Hospital, Bankstown, New South Wales, Australia|Blacktown Hospital, Blacktown, New South Wales, Australia|Campbelltown Hospital, Campbelltown, New South Wales, Australia|Royal Prince Alfred Hospital, Camperdown, New South Wales, Australia|Canterbury Hospital, Campsie, New South Wales, Australia|The Sutherland Hospital, Caringbah, New South Wales, Australia|Coffs Harbour Health Campus, Coffs Harbour, New South Wales, Australia|Concord Repatriation General Hospital, Concord, New South Wales, Australia|St Vincent's Hospital Sydney, Darlinghurst, New South Wales, Australia|Northern Beaches Hospital, Frenchs Forest, New South Wales, Australia|Griffith Base Hospital, Griffith, New South Wales, Australia|Nepean Hospital, Kingswood, New South Wales, Australia|St George Hospital, Kogarah, New South Wales, Australia|Lismore Base Hospital, Lismore, New South Wales, Australia|Liverpool Hospital, Liverpool, New South Wales, Australia|John Hunter Hospital, New Lambton Heights, New South Wales, Australia|Orange Health Service, Orange, New South Wales, Australia|Port Macquarie Base Hospital, Port Macquarie, New South Wales, Australia|Prince of Wales Hospital, Randwick, New South Wales, Australia|Royal North Shore Hospital, St Leonards, New South Wales, Australia|The Tweed Hospital, Tweed Heads, New South Wales, Australia|Wagga Wagga Base Hospital, Wagga Wagga, New South Wales, Australia|Calvary Mater Newcastle, Waratah, New South Wales, Australia|Westmead Hospital, Westmead, New South Wales, Australia|Wollongong Hospital, Wollongong, New South Wales, Australia|Royal Darwin Hospital, Tiwi, Northern Territory, Australia|Sunshine Coast University Hospital, Birtinya, Queensland, Australia|Caboolture Hospital, Caboolture, Queensland, Australia|Cairns Hospital, Cairns, Queensland, Australia|The Prince Charles Hospital, Chermside, Queensland, Australia|Royal Brisbane and Women's Hospital, Herston, Queensland, Australia|Mackay Base Hospital, Mackay, Queensland, Australia|Logan Hospital, Meadowbrook, Queensland, Australia|Redcliffe Hospital, Redcliffe, Queensland, Australia|Mater, South Brisbane, Queensland, Australia|Gold Coast University Hospital, Southport, Queensland, Australia|Townsville University Hospital, Townsville, Queensland, Australia|Princess Alexandra Hospital, Woolloongabba, Queensland, Australia|Royal Adelaide Hospital, Adelaide, South Australia, Australia|Flinders Medical Centre, Bedford Park, South Australia, Australia|Lyell McEwin Hospital, Elizabeth Vale, South Australia, Australia|Royal Hobart Hospital, Hobart, Tasmania, Australia|Launceston General Hospital, Launceston, Tasmania, Australia|Ballarat Health Services, Ballarat Central, Victoria, Australia|St John of God Ballarat Hospital, Ballarat, Victoria, Australia|Bendigo Health, Bendigo, Victoria, Australia|Eastern Health (Box Hill Hospital), Box Hill, Victoria, Australia|Monash Health, Clayton, Victoria, Australia|Northern Health, Epping, Victoria, Australia|St. Vincent's Hospital Melbourne, Fitzroy, Victoria, Australia|Frankston Hospital - Penninsula Health, Frankston, Victoria, Australia|Peninsula Private Hospital, Frankston, Victoria, Australia|Barwon Health - University Hospital Geelong, Geelong, Victoria, Australia|Austin Health, Heidelberg, Victoria, Australia|Cabrini Health, Malvern, Victoria, Australia|Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia|Alfred Hospital, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Parkville, Victoria, Australia|Epworth Richmond, Richmond, Victoria, Australia|Goulburn Valley Health, Shepparton, Victoria, Australia|Western Health, St Albans, Victoria, Australia|Latrobe Regional Hospital, Traralgon, Victoria, Australia|West Gippsland Hospital, Warragul, Victoria, Australia|Albury Wodonga Health, Wodonga, Victoria, Australia|Rockingham General Hospital, Cooloongup, Western Australia, Australia|Joondalup Health Campus, Joondalup, Western Australia, Australia|Armadale Health Service, Mount Nasura, Western Australia, Australia|Fiona Stanley Hospita, Murdoch, Western Australia, Australia|Sir Charles Gairdner Hospital, Nedlands, Western Australia, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|St John of God Subiaco Hospital, Subiaco, Western Australia, Australia|Knox Private Hospital, Wantirna, Australia",https://ClinicalTrials.gov/show/NCT04483960
NCT04871867,Cardiac and Lung Assessment of Professional Soccer Players Following COVID-19 Disease,Observational Model: Cohort|Time Perspective: Prospective,americanHparis,"American Hospital of Paris, Neuilly-sur-Seine, France",https://ClinicalTrials.gov/show/NCT04871867
NCT04787211,"A Phase 2 Study of Human Monoclonal Antibodies, BRII-196 and BRII-198",Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,BRII-196-198-004,"Beijing Ditan Hospital Capital Medical University, Beijing, Beijing, China|Guangzhou Eighth Hospital, Guangzhou Medical University, Guangzhou, Guangdong, China|The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China|The Third People's Hospital of Shenzhen, Shenzhen, Guangdong, China",https://ClinicalTrials.gov/show/NCT04787211
NCT04847583,"A Phase 2 Study to Evaluate Biomarker Change, Efficacy, Pharmacokinetics, Safety and Tolerability of Telacebec (Q203) in Covid-19 Patients",Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Q203-COVID-P2-ZA001,"Chris Hani Baragwanath Academic Hospital, Soweto, Gauteng, South Africa|KwaPhila Health Solutions, Durban, Kwa-Zula Natal, South Africa|TASK Eden, George, Western Cape, South Africa",https://ClinicalTrials.gov/show/NCT04847583
NCT04878328,Leveraging CHWs to Improve COVID-19 Testing and Mitigation Among CJIs Accessing a Corrections-focused CBO,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening,2021-12976,"Montefiore Medical Center, Bronx, New York, United States|Fortune Society, Long Island City, New York, United States",https://ClinicalTrials.gov/show/NCT04878328
NCT04333732,CROWN CORONATION: COVID-19 Research Outcomes Worldwide Network for CORONAvirus prevenTION,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",202004099|INV-017499,"Washington University School of Medicine, Saint Louis, Missouri, United States|University of Ghana Medical Centre, Accra, Greater Accra Region, Ghana|Groote Schuur/J52, Desmond Tutu Health Foundation, Mowbray, Cape Town, South Africa|Masiphumelele, Desmond Tutu Health Foundation, Sunnydale, Cape Town, South Africa|JOSHA Research, Bloemfontein, Free State, South Africa|Wits RHI, University of the Witwatersrand, Hillbrow, Johannesburg,Gauteng, South Africa|Clinical HIV Research Unit (CHRU), Auckland Park, Johannesburg, South Africa|Perinatal HIV Research Unit (PHRU), Diepkloof, Johannesburg, South Africa|Setshaba Research Centre, Soshanguve, Tshwane, South Africa|Groote Schuur Hospital, Cape Town, Western Cape, South Africa|FAMCRU (Family Clinical Research with Ubuntu), Cape Town, South Africa|Chatsworth, HIV Prevention Research Unit, South African Medical Research Council, Chatsworth, South Africa|Isipingo, HIV Prevention Research Unit, South African Medical Research Council, Durban, South Africa|Aurum Institute Tembisa, Tembisa, South Africa|University College London, London, United Kingdom|Levy Mwanawasa University Teaching Hospital, Lusaka, Zambia|Centre for Infectious Disease Research in Zambia [CIDRZ], Lusaka, Zambia",https://ClinicalTrials.gov/show/NCT04333732
NCT04866303,Protecting Our Community: COVID-19 Testing,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Diagnostic",3P20GM104417-07S1,"Salish Kootenai College, Pablo, Montana, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT04866303
NCT04916639,Seawater Nasal Wash to Relieve COVID-19 Nasal Symptoms and Reduce SARS-CoV-2 Viral Load.,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SeaCare,NA,https://ClinicalTrials.gov/show/NCT04916639
NCT04351152,Phase 3 Study to Evaluate Efficacy and Safety of Lenzilumab in Patients With COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",HGEN003-06,"Mayo Clinic, Phoenix, Arizona, United States|University of California, Irvine, Irvine, California, United States|University of Southern California (USC) Medical Center, Los Angeles, California, United States|USC - Los Angeles County Medical Center, Los Angeles, California, United States|MedStar Washington Hospital Center, Washington, District of Columbia, United States|Mayo Clinic, Jacksonville, Florida, United States|AdventHealth Orlando, Orlando, Florida, United States|Emory University, Atlanta, Georgia, United States|St. Elizabeth Healthcare, Edgewood, Kentucky, United States|Hennepin County Medical Center, Minneapolis, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|Dartmouth-Hitchcock, Lebanon, New Hampshire, United States|Saint Barnabas Medical Center, Livingston, New Jersey, United States|Mercy Medical Center, Rockville Centre, New York, United States|Atrium Health, Charlotte, North Carolina, United States|St. David's Healthcare, Austin, Texas, United States|St. David's North Austin Medical Center, Austin, Texas, United States|Texas Health, Dallas, Texas, United States|Hospital Vera Cruz, Belo Horizonte, Minas Gerais, Brazil|CPCLIN - Centro de Pesquisas Clínicas de Natal, Natal, Rio Grande Do Norte, Brazil|Hospital São Lucas - PUCRS, Porto Alegre, Rio Grande Do Sul, Brazil|Sociedade Literaria e Caritativa Santo Agostinho, Criciúma, Santa Catarina, Brazil|Hospital Dia do Pulmão, Blumenau, São Paulo, Brazil|Hospital Guilherme Alvaro, Santos, São Paulo, Brazil|Clinica de Alergia Martti Antila S/S LTDA, Sorocaba, São Paulo, Brazil|CEMEC - Centro Multidisciplinar de Estudos Clínicos LTDA-EPP, São Bernardo do Campo, São Paulo, Brazil|Escola Paulista de Medicina (UNIFESP), São Paulo, Brazil|Hospital Heliópolis, São Paulo, Brazil|Hospital São Luiz do Jabaquara/IDOR, São Paulo, Brazil",https://ClinicalTrials.gov/show/NCT04351152
NCT04356417,Long-term Use of Drugs That Could Prevent the Risk of Serious COVID-19 Infections or Make it Worse,Observational Model: Cohort|Time Perspective: Other,APHP200412,"Assistance Publique Hôpitaux de Paris - CHU Henri Mondor, Créteil, France",https://ClinicalTrials.gov/show/NCT04356417
NCT04498247,"A Study to Assess Safety, Tolerability, and Immunogenicity of V591 (COVID-19 Vaccine) in Healthy Participants (V591-001)","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",V591-001|2020-003493-46,"Research Centers of America, LLC ( Site 0014), Hollywood, Florida, United States|Alliance for Multispecialty Research, LLC ( Site 0013), Wichita, Kansas, United States|Central Kentucky Research Associates, Inc. ( Site 0011), Lexington, Kentucky, United States|The Center for Pharmaceutical Research PC ( Site 0012), Kansas City, Missouri, United States|SCRI-CCCIT GesmbH ( Site 0006), Salzburg, Austria|Medizinische Universitaet Wien ( Site 0007), Wien, Austria|Universitair Ziekenhuis Gent ( Site 0003), Gent, Oost-Vlaanderen, Belgium|SGS Life Science Services ( Site 0001), Antwerpen, Belgium|ATC - Clinical Pharmacology Unit ( Site 0002), Liege, Belgium",https://ClinicalTrials.gov/show/NCT04498247
NCT04608383,Laparoscopy and COVID-19 Contamination,Observational Model: Case-Only|Time Perspective: Prospective,APHP200611,"AP-HP, Bicêtre Hospital, Anesthesia Department, Le Kremlin Bicêtre, France|AP-HP, Bicêtre Hospital, Gynecology department, Le Kremlin Bicêtre, France|AP-HP, Bicêtre Hospital, Department of Digestive and Oncological Surgery, Le Kremlin-Bicêtre, France|AP-HP, Bicêtre Hospital, Urology Department, Le Kremlin-Bicêtre, France",https://ClinicalTrials.gov/show/NCT04608383
NCT04412265,Frailty in Elderly Patients With COVID-19,Observational Model: Case-Only|Time Perspective: Retrospective,FRA-COVID,"Dipartimento di Geriatria, Fondazione Poliambulanza, Brescia, Italy|Dipartimento di Medicina e Riabilitazione, Istituto Clinico Ospedale S. Anna, Brescia, Italy|UO Malattie Infettive, Spedali Civili, Brescia, Italy|UOC Medicina I a indirizzo Geriatrico, Spedali Civili, Montichiari, Italy|ASST Monza-Ospedale San Gerardo, Monza, Italy|SCDU Geriatria, AOU Città della Salute e della Scienza - Presidio Molinette, Torino, Italy",https://ClinicalTrials.gov/show/NCT04412265
NCT04279197,Treatment of Pulmonary Fibrosis Due to COVID-19 With Fuzheng Huayu,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",Fzhy-ncp-2,"Shuguang Hospital, Shanghai, Shanghai, China",https://ClinicalTrials.gov/show/NCT04279197
NCT04937543,Efficacy of Inhaled Therapies in the Treatment of Acute Symptoms Associated With COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TRIV001,"Hospital das Clínicas da Faculdade de Medicina de Botucatu, Botucatu, São Paulo, Brazil",https://ClinicalTrials.gov/show/NCT04937543
NCT04329507,Non-invasive Detection of Pneumonia in Context of Covid-19 Using Gas Chromatography - Ion Mobility Spectrometry (GC-IMS),Observational Model: Cohort|Time Perspective: Prospective,282014,"NHS Lothian, Edinburgh, United Kingdom",https://ClinicalTrials.gov/show/NCT04329507
NCT04795414,Safety and Immunogenicity of an Inactivated Vaccine Against COVID-19 in Medical Workers,Observational Model: Cohort|Time Perspective: Prospective,RJHKY2021-12,"Ruijin Hospital affiliated to Shanghai JiaoTong University School of Medicine, Shanghai, Shanghai, China",https://ClinicalTrials.gov/show/NCT04795414
NCT04350736,"First in Human SAD and MAD Study of Inhaled TD-0903, a Potential Treatment for ALI Associated With COVID-19","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",0183|2020-000577-24,"Theravance Biopharma Investigational Site, Manchester, United Kingdom",https://ClinicalTrials.gov/show/NCT04350736
NCT04591210,The COVID-RASi Trial (COVID-19),Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CTO-3212,"Centro de Pesquisa Clinicas Dr Marco Mota, Maceio, Alagoas, Brazil|Santa Casa de Itabuna, Itabuna, Bahia, Brazil|Hospital Felicio Rocho, Belo Horizonte, MG, Brazil|Centro de Pesquisa Clinica da Unimed Campo Grande, Campo Grande, MG, Brazil|Clinica de Campo Grande, Campo Grande, MG, Brazil|Hospital Agamenom Magalhaes, Recife, PE, Brazil|Pronto Socorro Cardiologico de Pernambuco Recife, Recife, PE, Brazil|Instituto Atena de Pesquisa Clinica, Natal, RN, Brazil|Hospital Universitar Canoas, Canoas, RS, Brazil|Hospital Sao Vicente de Paulo, Passo Fundo, RS, Brazil|Instituto de Pesquisa Clinica de Campinas, Campinas, SP, Brazil|Hospital Bela Vista, Consolacao, SP, Brazil|Instituto Prevent Senior, Sao Paulo, SP, Brazil|Instituto de Coracao, São Paulo, SP, Brazil|Instituto Goiano de Oncologia e Hematologia, Goiânia, Brazil|Alberta Health Services, Edmonton, Alberta, Canada|University of Ottawa Heart Institute, Ottawa, Ontario, Canada|Hospital General 1, IMSS, Ciudad de Mexico, Mexico|Hospital General de zona 27- IMSS, Ciudad de Mexico, Mexico",https://ClinicalTrials.gov/show/NCT04591210
NCT04609839,FOLLOW-UP OF PATIENTS WITH COVID-19.,Observational Model: Case-Only|Time Perspective: Prospective,TeleRea'nCo|7883,"Hopitaux Universitaires de Strasbourg, Strasbourg, France",https://ClinicalTrials.gov/show/NCT04609839
NCT04848467,"COVID-19: A Trial Studying the SARS-CoV-2 mRNA Vaccine CVnCoV to Learn About the Immune Response, the Safety, and the Degree of Typical Vaccination Reactions When CVnCoV is Given at the Same Time as a Flu Vaccine Compared to When the Vaccines Are Separately Given in Adults 60 Years of Age and Older","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",21819,"Instituto de Investigaciones Clinicas de Quilmes, Quilmes, Buenos Aires, Argentina|Fundación Cenit para la Investigación en Neurociencias, Caba, Ciudad Auton. De Buenos Aires, Argentina|Sanatorio Parque S.A., Rosario, Santa Fe, Argentina|Centro de Atencion e Investigation Medica S.A.S. - CAIMED CH, Cundinamarca, Distrito Capital De Bogotá, Colombia|Centro de Investigacion Medico Asistencial S.A.S - CIMEDICAL, Barranquilla, Colombia|Centros de Estudios en Infectologia Pediatrica S.A.S. CEIP, Calì, Colombia|Istituto de Investigacion Nutricional, Lima-12, Lima, Peru|Clinica Medica San Martin EIRL - Inv. Metabolicas-Cardiolog, Ica, Peru|Clinica Renal y Oncologica - Centro para Ensayos Clinicos, Lima, Peru",https://ClinicalTrials.gov/show/NCT04848467
NCT04382235,Non-invasive Ventilatory Support of Patients Affected by COVID-19,Observational Model: Cohort|Time Perspective: Prospective,WARd-COVID,"Policlinico San Marco - Ospedale Zingonia, Bergamo, BG, Italy|ASST Papa Giovanni XXIII - Bergamo, Bergamo, Italy|Azienda Ospedaliera - Universitaria di Bologna, Policlinico S. Orsola Malpighi, Bologna, Italy|ASST Spedali Civili - Brescia, Brescia, Italy|ASST Valle Olona - Ospedale di Busto Arsizio, Busto Arsizio, Italy|ASST Lariana - Ospedale Sant'Anna, Como, Italy|ASST Crema - Ospedale Maggiore di Crema, Crema, Italy|ASST Cremona - Ospedale di Cremona, Cremona, Italy|Istituto Clinico Humanitas Gavazzeni, Cremona, Italy|ASST Garda - Presidio di Desenzano del Garda, Desenzano Del Garda, Italy|ASST Monza - Desio, Desio, Italy|ASST Spedali Civili -Ospedale di Gardone Val Trompia, Gardone Val Trompia, Italy|ASST Lecco - Ospedale ""A. Manzoni"", Lecco, Italy|ASST Ovest milanese - Ospedale di Legnano, Legnano, Italy|ASST Lodi - Ospedale Maggiore di Lodi, Lodi, Italy|ASST OVEST Milanese - Ospedale di Magenta, Magenta, Italy|ASST Garda - Ospedale di Manerbio, Manerbio, Italy|ASST Mantova - Ospedale Carlo Poma, Mantova, Italy|ASST Melegnano e della Martesana - Presidio di Melzo-Gorgonzola, Melzo, Italy|ASST Fatebenefratelli - Presidi Fatebenefratelli & M. Melloni, Milano, Italy|ASST Fatebenefratelli - Sacco, Milano, Italy|ASST Grande Ospedale Metropolitano Niguarda, Milano, Italy|Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico, Milano, Italy|Ospedale San Giuseppe, Milano, Italy|ASST Spedali Civili -Presidio Ospedaliero di Montichiari, Montichiari, Italy|ASST Monza - Ospedale San Gerardo, Monza, Italy|Fondazione IRCCS Policlinico San Matteo - Pavia, Pavia, Italy|Policlinico San Pietro, Ponte San Pietro, Italy|Istituto Clinico Humanitas Rozzano, Rozzano, Italy|ASST Valle Olona - Ospedale di Saronno, Saronno, Italy|ASST Bergamo OVEST - Ospedale ""Treviglio-Caravaggio"" di Treviglio, Treviglio, Italy|Ospedale di Circolo e Fondazione Macchi - Varese, Varese, Italy|ASST Vimercate - Ospedale di Vimercate, Vimercate, Italy|ASST Melegnano e della Martesana - Ospedale di Vizzolo Predabissi, Vizzolo Predabissi, Italy",https://ClinicalTrials.gov/show/NCT04382235
NCT04348214,Screening & Risk Assessment of Healthcare Workers & Infection Control in University & COVID-19 Quarantine Hospitals,Observational Model: Cohort|Time Perspective: Prospective,FMASU P18a/ 2020,"Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center, Cairo, Non-US, Egypt",https://ClinicalTrials.gov/show/NCT04348214
NCT04527458,Case Fatalities in Hospitalised COVID-19 Patients in the UK,Observational Model: Cohort|Time Perspective: Prospective,ISARIC_COVID_CF,"University of Edinburgh, Edinburgh, United Kingdom",https://ClinicalTrials.gov/show/NCT04527458
NCT04526054,Morphological Abnormalities of the Olfactory Bulb on MRI and Olfactometry in Anosmic Versus Normosmic COVID-19 Patients,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,2020_0057,"Hopital Foch, Suresnes, Ile-de-France, France|Hopital Raymond Poincare, Garches, France",https://ClinicalTrials.gov/show/NCT04526054
NCT04649320,Perception of the COVID-19 Pandemic in Patients With Haematological or Solid Neoplasias,Observational Model: Cohort|Time Perspective: Other,1264/2020,"Medical University of Innsbruck, Innsbruck, Tyrol, Austria",https://ClinicalTrials.gov/show/NCT04649320
NCT04632537,BCG Vaccination to Prevent COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",USUHS.2020-062,NA,https://ClinicalTrials.gov/show/NCT04632537
NCT04609969,Diagnostic Performance Evaluation of a Novel SARS-CoV-2 (COVID-19) Antigen Detection Test,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,CHRO-2020-18,"Centre Hospitalier Régional d'Orléans, France, Orléans, France",https://ClinicalTrials.gov/show/NCT04609969
NCT04894617,Amantadine for COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",02032021|2021-001177-22,NA,https://ClinicalTrials.gov/show/NCT04894617
NCT04569292,COVID-19 Infection in Cancer Pantients,Observational Model: Case-Only|Time Perspective: Other,COICA_PAG_01,"Oncology Unit, Hospital Andrea Tortora, Pagani, Salerno, Italy",https://ClinicalTrials.gov/show/NCT04569292
NCT04365231,Hydroxychloroquine Azithromycin COVID-19 Pregnancy Trial,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HASCOPT2020,NA,https://ClinicalTrials.gov/show/NCT04365231
NCT04797975,Off-the-shelf NK Cells (KDS-1000) as Immunotherapy for COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",KNK-COV-001,NA,https://ClinicalTrials.gov/show/NCT04797975
NCT04558463,The Effectivity and Safety of Favipiravir Compared to Oseltamivir as Adjuvant Therapy for COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20-04-0455,"Cipto Mangunkusumo National Referral Hospital, Jakarta, DKI Jakarta, Indonesia",https://ClinicalTrials.gov/show/NCT04558463
NCT04911868,Surgical Management During the Era of COVID-19,Observational Model: Other|Time Perspective: Retrospective,2020-5014-11563.,"Aga Khan University, Karachi, Sindh, Pakistan",https://ClinicalTrials.gov/show/NCT04911868
NCT04912284,Africa COVID-19 Vaccine Hesitancy,Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional,2021-10550-BO-ff,"Henri Gautier Ouedragogo, Ouagadougou, Burkina Faso|Alpha Mahmoud Barry, Conakry, Guinea|Seydou Doumbia, Bamako, Mali|Sylvain Faye, Dakar, Senegal|Abdul Mbawah, Freetown, Sierra Leone",https://ClinicalTrials.gov/show/NCT04912284
NCT04508985,The McGill RAAS-COVID-19 Trial,Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MP-37-2021-6614,NA,https://ClinicalTrials.gov/show/NCT04508985
NCT04455308,COVID-19 and Chilblains,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,35RC20_8888_ECCES,"CHU Angers, Angers, France|CHRU Brest, Brest, France|CHU Nantes, Nantes, France|CHU Rennes, Rennes, France|CHRU Tours, Tours, France",https://ClinicalTrials.gov/show/NCT04455308
NCT04953247,Use of Compromised Lung Volume in Monitoring Usage of Steroid Therapy on Severe COVID-19,Observational Model: Cohort|Time Perspective: Retrospective,CLVMUST,"Zhongshan hospital, Fudan university, Shanghai, China",https://ClinicalTrials.gov/show/NCT04953247
NCT04570449,Fluoxetine to Reduce Hospitalization From COVID-19 Infection (FloR COVID-19),"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",15598,"Milton S. Hershey Medical Center Clinical Research Center, Hershey, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04570449
NCT04456049,Randomized Open Label Phase II Study to Evaluate the Efficacy of Enzalutamide in High Risk Male Outpatients With COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,COVID_ENZA,"Oncology Institute of Southern Switzerland (IOSI), Bellinzona, Switzerland",https://ClinicalTrials.gov/show/NCT04456049
